modify | Expert_Trader @ EURUSD,30 | Order modified: ticket=10 SL=1.17143000 TP=1.18928000
modify | Expert_Trader @ EURUSD,30 | Order modified: ticket=8 SL=1.17143000 TP=1.18963000
modify | Expert_Trader @ EURUSD,30 | Order modified: ticket=7 SL=1.17143000 TP=1.18976000
modify | Expert_Trader @ EURUSD,30 | Order modified: ticket=6 SL=1.17143000 TP=1.18998000
modify | Expert_Trader @ EURUSD,30 | Order modified: ticket=5 SL=1.17143000 TP=1.18979000
modify | Expert_Trader @ EURUSD,30 | Order modified: ticket=4 SL=1.17143000 TP=1.18986000
modify | Expert_Trader @ EURUSD,30 | Order modified: ticket=3 SL=1.17143000 TP=1.18973000
modify | Expert_Trader @ EURUSD,30 | Order modified: ticket=2 SL=1.17143000 TP=1.19004000
modify | Expert_Trader @ EURUSD,30 | Order modified: ticket=1 SL=1.17143000 TP=1.18998000
order | Expert_Trader @ EURUSD,30 | Order sent: Sell EURUSD Magic #123603
modify | Expert_Trader @ EURUSD,30 | Order modified: ticket=67 SL=1.19143000
modify | Expert_Trader @ EURUSD,30 | Order modified: ticket=67 SL=1.19143000 TP=1.17143000
order | Expert_Trader @ EURUSD,30 | Order sent: Sell EURUSD Magic #123603
modify | Expert_Trader @ EURUSD,30 | Order modified: ticket=68 SL=1.19114000
modify | Expert_Trader @ EURUSD,30 | Order modified: ticket=68 SL=1.19114000 TP=1.17114000
order | Expert_Trader @ EURUSD,30 | Order sent: Sell EURUSD Magic #123603
modify | Expert_Trader @ EURUSD,30 | Order modified: ticket=69 SL=1.19128000
modify | Expert_Trader @ EURUSD,30 | Order modified: ticket=69 SL=1.19128000 TP=1.17128000
order | Expert_Trader @ EURUSD,30 | Order sent: Sell EURUSD Magic #123603
modify | Expert_Trader @ EURUSD,30 | Order modified: ticket=70 SL=1.19084000
modify | Expert_Trader @ EURUSD,30 | Order modified: ticket=70 SL=1.19084000 TP=1.17084000
order | Expert_Trader @ EURUSD,30 | Order sent: Sell EURUSD Magic #123603
modify | Expert_Trader @ EURUSD,30 | Order modified: ticket=71 SL=1.19109000
modify | Expert_Trader @ EURUSD,30 | Order modified: ticket=71 SL=1.19109000 TP=1.17109000
order | Expert_Trader @ EURUSD,30 | Order sent: Sell EURUSD Magic #123603
modify | Expert_Trader @ EURUSD,30 | Order modified: ticket=72 SL=1.19144000
modify | Expert_Trader @ EURUSD,30 | Order modified: ticket=72 SL=1.19144000 TP=1.17144000
modify | Expert_Trader @ EURUSD,30 | Order modified: ticket=9 SL=1.17167000 TP=1.18951000
order | Expert_Trader @ EURUSD,30 | Order sent: Sell EURUSD Magic #123603
modify | Expert_Trader @ EURUSD,30 | Order modified: ticket=73 SL=1.19167000
modify | Expert_Trader @ EURUSD,30 | Order modified: ticket=73 SL=1.19167000 TP=1.17167000
order | Expert_Trader @ EURUSD,30 | Order sent: Sell EURUSD Magic #123603
modify | Expert_Trader @ EURUSD,30 | Order modified: ticket=74 SL=1.19159000
modify | Expert_Trader @ EURUSD,30 | Order modified: ticket=74 SL=1.19159000 TP=1.17159000
order | Expert_Trader @ EURUSD,30 | Order sent: Sell EURUSD Magic #123603
modify | Expert_Trader @ EURUSD,30 | Order modified: ticket=75 SL=1.19189000
